Distancia_m,Gravedad_mGal
-5000.0,0.00015887719911330693
-4950.0,0.0001634692285318329
-4900.0,0.00016823721527806107
-4850.0,0.00017318953027790638
-4800.0,0.00017833501840906836
-4750.0,0.0001836830294879857
-4700.0,0.00018924345154206404
-4650.0,0.00019502674655357636
-4600.0,0.00020104398887814376
-4550.0,0.00020730690655877392
-4500.0,0.0002138279257762094
-4450.0,0.00022062021869799674
-4400.0,0.0002276977550124018
-4350.0,0.00023507535745928261
-4300.0,0.0002427687616984956
-4250.0,0.00025079468088760914
-4200.0,0.00025917087537488497
-4150.0,0.00026791622795095877
-4100.0,0.0002770508251437173
-4050.0,0.0002865960450858754
-4000.0,0.0002965746525340721
-3950.0,0.0003070109016723327
-3900.0,0.0003179306473919169
-3850.0,0.0003293614658043537
-3800.0,0.00034133278481534966
-3750.0,0.0003538760256647707
-3700.0,0.0003670247564225946
-3650.0,0.0003808148585231859
-3600.0,0.0003952847075210474
-3550.0,0.0004104753693609594
-3500.0,0.0004264308135747142
-3450.0,0.00044319814494606774
-3400.0,0.000460827855325575
-3350.0,0.00047937409742810277
-3300.0,0.0004988949826083275
-3250.0,0.0005194529047835748
-3200.0,0.0005411148928588228
-3150.0,0.0005639529942051292
-3100.0,0.0005880446919492142
-3050.0,0.000613473359046945
-3000.0,0.0006403287523346616
-2950.0,0.0006687075499763165
-2900.0,0.0006987139359465375
-2850.0,0.000730460235403544
-2800.0,0.000764067605002696
-2750.0,0.0007996667823699105
-2700.0,0.0008373988990792734
-2650.0,0.0008774163615414828
-2600.0,0.0009198838041843225
-2550.0,0.0009649791191612001
-2500.0,0.0010128945665183204
-2450.0,0.001063837968233946
-2400.0,0.001118033988749895
-2350.0,0.0011757255034651386
-2300.0,0.001237175055053545
-2250.0,0.0013026663952778344
-2200.0,0.0013725061070462292
-2150.0,0.0014470252976089846
-2100.0,0.001526581348790258
-2050.0,0.0016115597037201367
-2000.0,0.0017023756613410803
-1950.0,0.0017994761396200331
-1900.0,0.0019033413554423112
-1850.0,0.0020144863530657878
-1800.0,0.0021334622931739582
-1750.0,0.0022608573903225983
-1700.0,0.002397297357223047
-1650.0,0.002543445179135335
-1600.0,0.0027
-1550.0,0.0028676948533104757
-1500.0,0.0030472929148996305
-1450.0,0.00323958189205817
-1400.0,0.003445366094766892
-1350.0,0.0036654556625099017
-1300.0,0.0039006523479856816
-1250.0,0.004151731193143994
-1200.0,0.004419417382415922
-1150.0,0.004704357535593714
-1100.0,0.005007084725891829
-1050.0,0.0053279765996947104
-1000.0,0.005667206160964248
-950.0,0.006024685097251528
-900.0,0.0064
-850.0,0.006792342501655395
-800.0,0.007200435239462109
-750.0,0.007622456665214274
-700.0,0.008055969023923214
-650.0,0.00849785524706681
-600.0,0.00894427190999916
-550.0,0.009390626577961043
-500.0,0.009831588529813381
-450.0,0.01026114167198953
-400.0,0.010672687103068281
-350.0,0.0110592
-300.0,0.011413441178180375
-250.0,0.01172821800683986
-200.0,0.011996682857417965
-150.0,0.012212650790322063
-100.0,0.012370912860970919
-50.0,0.012467518416403697
0.0,0.0125
50.0,0.012467518416403697
100.0,0.012370912860970919
150.0,0.012212650790322063
200.0,0.011996682857417965
250.0,0.01172821800683986
300.0,0.011413441178180375
350.0,0.0110592
400.0,0.010672687103068281
450.0,0.01026114167198953
500.0,0.009831588529813381
550.0,0.009390626577961043
600.0,0.00894427190999916
650.0,0.00849785524706681
700.0,0.008055969023923214
750.0,0.007622456665214274
800.0,0.007200435239462109
850.0,0.006792342501655395
900.0,0.0064
950.0,0.006024685097251528
1000.0,0.005667206160964248
1050.0,0.0053279765996947104
1100.0,0.005007084725891829
1150.0,0.004704357535593714
1200.0,0.004419417382415922
1250.0,0.004151731193143994
1300.0,0.0039006523479856816
1350.0,0.0036654556625099017
1400.0,0.003445366094766892
1450.0,0.00323958189205817
1500.0,0.0030472929148996305
1550.0,0.0028676948533104757
1600.0,0.0027
1650.0,0.002543445179135335
1700.0,0.002397297357223047
1750.0,0.0022608573903225983
1800.0,0.0021334622931739582
1850.0,0.0020144863530657878
1900.0,0.0019033413554423112
1950.0,0.0017994761396200331
2000.0,0.0017023756613410803
2050.0,0.0016115597037201367
2100.0,0.001526581348790258
2150.0,0.0014470252976089846
2200.0,0.0013725061070462292
2250.0,0.0013026663952778344
2300.0,0.001237175055053545
2350.0,0.0011757255034651386
2400.0,0.001118033988749895
2450.0,0.001063837968233946
2500.0,0.0010128945665183204
2550.0,0.0009649791191612001
2600.0,0.0009198838041843225
2650.0,0.0008774163615414828
2700.0,0.0008373988990792734
2750.0,0.0007996667823699105
2800.0,0.000764067605002696
2850.0,0.000730460235403544
2900.0,0.0006987139359465375
2950.0,0.0006687075499763165
3000.0,0.0006403287523346616
3050.0,0.000613473359046945
3100.0,0.0005880446919492142
3150.0,0.0005639529942051292
3200.0,0.0005411148928588228
3250.0,0.0005194529047835748
3300.0,0.0004988949826083275
3350.0,0.00047937409742810277
3400.0,0.000460827855325575
3450.0,0.00044319814494606774
3500.0,0.0004264308135747142
3550.0,0.0004104753693609594
3600.0,0.0003952847075210474
3650.0,0.0003808148585231859
3700.0,0.0003670247564225946
3750.0,0.0003538760256647707
3800.0,0.00034133278481534966
3850.0,0.0003293614658043537
3900.0,0.0003179306473919169
3950.0,0.0003070109016723327
4000.0,0.0002965746525340721
4050.0,0.0002865960450858754
4100.0,0.0002770508251437173
4150.0,0.00026791622795095877
4200.0,0.00025917087537488497
4250.0,0.00025079468088760914
4300.0,0.0002427687616984956
4350.0,0.00023507535745928261
4400.0,0.0002276977550124018
4450.0,0.00022062021869799674
4500.0,0.0002138279257762094
4550.0,0.00020730690655877392
4600.0,0.00020104398887814376
4650.0,0.00019502674655357636
4700.0,0.00018924345154206404
4750.0,0.0001836830294879857
4800.0,0.00017833501840906836
4850.0,0.00017318953027790638
4900.0,0.00016823721527806107
4950.0,0.0001634692285318329
5000.0,0.00015887719911330693
